Wavelength,25yrOld,65yrOld,(65yr&25yr)
380,0.0011068,4.8249e-06,0.0043591
381,0.0012801,6.998e-06,0.0054666
382,0.0014861,1.0102e-05,0.0067974
383,0.001731,1.4508e-05,0.0083813
384,0.0020222,2.0724e-05,0.010248
385,0.0023683,2.9433e-05,0.012428
386,0.0027795,4.155e-05,0.014949
387,0.0032677,5.8287e-05,0.017838
388,0.0038463,8.1229e-05,0.021119
389,0.0045311,0.00011243,0.024812
390,0.0053401,0.00015451,0.028935
391,0.0062933,0.00021081,0.033497
392,0.0074135,0.00028546,0.038506
393,0.0087259,0.00038361,0.043962
394,0.010258,0.00051147,0.04986
395,0.012041,0.00067655,0.056189
396,0.014105,0.00088772,0.062934
397,0.016487,0.0011553,0.070074
398,0.019221,0.0014913,0.077584
399,0.022345,0.001909,0.085435
400,0.025894,0.0024236,0.093596
401,0.029907,0.0030514,0.10203
402,0.034417,0.0038102,0.11071
403,0.039458,0.0047186,0.11959
404,0.045058,0.0057959,0.12863
405,0.051242,0.0070616,0.13781
406,0.058029,0.008535,0.14708
407,0.065432,0.010235,0.15642
408,0.073455,0.012178,0.16579
409,0.082096,0.01438,0.17516
410,0.091345,0.016855,0.18452
411,0.10118,0.019611,0.19383
412,0.11157,0.022657,0.20307
413,0.12249,0.025996,0.21223
414,0.13388,0.029628,0.2213
415,0.14571,0.033549,0.23025
416,0.1579,0.037751,0.23908
417,0.1704,0.042223,0.24779
418,0.18315,0.046951,0.25636
419,0.19607,0.051917,0.26479
420,0.2091,0.057102,0.27308
421,0.22217,0.062483,0.28124
422,0.23522,0.068037,0.28925
423,0.24818,0.07374,0.29712
424,0.26099,0.079567,0.30486
425,0.27361,0.085493,0.31246
426,0.28598,0.091495,0.31994
427,0.29805,0.097549,0.32729
428,0.30979,0.10363,0.33452
429,0.32118,0.10973,0.34163
430,0.33217,0.11581,0.34864
431,0.34277,0.12187,0.35554
432,0.35294,0.12788,0.36234
433,0.36269,0.13385,0.36904
434,0.37201,0.13974,0.37565
435,0.38089,0.14557,0.38218
436,0.38936,0.15131,0.38862
437,0.3974,0.15697,0.39499
438,0.40505,0.16254,0.40129
439,0.4123,0.16802,0.40752
440,0.41917,0.1734,0.41368
441,0.42568,0.1787,0.41979
442,0.43185,0.1839,0.42584
443,0.4377,0.18901,0.43183
444,0.44324,0.19404,0.43777
445,0.44849,0.19898,0.44367
446,0.45348,0.20385,0.44952
447,0.45821,0.20864,0.45533
448,0.46271,0.21336,0.4611
449,0.467,0.21801,0.46683
450,0.47109,0.2226,0.47252
451,0.475,0.22713,0.47818
452,0.47873,0.23162,0.48381
453,0.48232,0.23605,0.48941
454,0.48576,0.24044,0.49497
455,0.48907,0.24479,0.50051
456,0.49227,0.2491,0.50602
457,0.49535,0.25338,0.5115
458,0.49834,0.25762,0.51696
459,0.50124,0.26185,0.52239
460,0.50406,0.26604,0.5278
461,0.5068,0.27022,0.53319
462,0.50947,0.27438,0.53855
463,0.51209,0.27851,0.54388
464,0.51464,0.28264,0.5492
465,0.51714,0.28675,0.55449
466,0.5196,0.29085,0.55975
467,0.52201,0.29493,0.565
468,0.52438,0.29901,0.57022
469,0.52672,0.30308,0.57541
470,0.52901,0.30714,0.58059
471,0.53128,0.31119,0.58574
472,0.53352,0.31523,0.59086
473,0.53572,0.31927,0.59596
474,0.5379,0.3233,0.60103
475,0.54006,0.32732,0.60608
476,0.54219,0.33133,0.6111
477,0.5443,0.33534,0.6161
478,0.54638,0.33934,0.62106
479,0.54845,0.34333,0.626
480,0.55049,0.34731,0.63091
481,0.55251,0.35128,0.63579
482,0.55452,0.35525,0.64064
483,0.5565,0.3592,0.64546
484,0.55847,0.36314,0.65025
485,0.56042,0.36708,0.65501
486,0.56235,0.371,0.65973
487,0.56426,0.3749,0.66442
488,0.56615,0.3788,0.66907
489,0.56803,0.38268,0.67369
490,0.56989,0.38655,0.67828
491,0.57173,0.3904,0.68283
492,0.57356,0.39423,0.68734
493,0.57537,0.39805,0.69181
494,0.57716,0.40185,0.69625
495,0.57894,0.40563,0.70065
496,0.5807,0.40939,0.70501
497,0.58244,0.41314,0.70933
498,0.58417,0.41686,0.7136
499,0.58588,0.42057,0.71784
500,0.58757,0.42425,0.72204
501,0.58925,0.42791,0.72619
502,0.59091,0.43154,0.7303
503,0.59255,0.43516,0.73437
504,0.59418,0.43874,0.7384
505,0.5958,0.44231,0.74238
506,0.59739,0.44585,0.74632
507,0.59898,0.44936,0.75022
508,0.60054,0.45285,0.75407
509,0.60209,0.45631,0.75787
510,0.60363,0.45974,0.76163
511,0.60515,0.46315,0.76535
512,0.60665,0.46653,0.76902
513,0.60814,0.46988,0.77265
514,0.60961,0.4732,0.77623
515,0.61107,0.47649,0.77976
516,0.61251,0.47975,0.78325
517,0.61394,0.48298,0.78669
518,0.61535,0.48618,0.79008
519,0.61675,0.48935,0.79343
520,0.61813,0.49249,0.79674
521,0.6195,0.4956,0.8
522,0.62085,0.49868,0.80321
523,0.62219,0.50172,0.80638
524,0.62352,0.50474,0.8095
525,0.62483,0.50772,0.81257
526,0.62613,0.51067,0.8156
527,0.62741,0.51359,0.81859
528,0.62868,0.51647,0.82152
529,0.62993,0.51933,0.82442
530,0.63117,0.52215,0.82727
531,0.6324,0.52494,0.83007
532,0.63362,0.5277,0.83283
533,0.63482,0.53042,0.83555
534,0.636,0.53311,0.83822
535,0.63718,0.53577,0.84085
536,0.63834,0.5384,0.84344
537,0.63949,0.541,0.84598
