Wavelength	Response (norm with original 300-780)
380	0.51689
381	0.51629
382	0.45975
383	0.45906
384	0.40329
385	0.35603
386	0.35516
387	0.34503
388	0.33019
389	0.32249
390	0.3105
391	0.29642
392	0.28174
393	0.27257
394	0.26871
395	0.26803
396	0.25378
397	0.25345
398	0.24314
399	0.24314
400	0.23461
401	0.23935
402	0.23157
403	0.2258
404	0.22314
405	0.21932
406	0.2172
407	0.21442
408	0.21259
409	0.21406
410	0.20367
411	0.20367
412	0.20222
413	0.20189
414	0.19737
415	0.19737
416	0.19476
417	0.19127
418	0.19264
419	0.19181
420	0.19061
421	0.18963
422	0.18855
423	0.18749
424	0.18508
425	0.18429
426	0.18116
427	0.1809
428	0.17808
429	0.17776
430	0.17531
431	0.17257
432	0.1739
433	0.17249
434	0.17134
435	0.17012
436	0.1694
437	0.16819
438	0.16729
439	0.16628
440	0.16533
441	0.16416
442	0.16279
443	0.16143
444	0.16022
445	0.15817
446	0.1575
447	0.15637
448	0.15483
449	0.15383
450	0.15219
451	0.15111
452	0.15003
453	0.14948
454	0.14833
455	0.14444
456	0.13989
457	0.13687
458	0.13364
459	0.13068
460	0.12763
461	0.12483
462	0.12192
463	0.11925
464	0.11647
465	0.11391
466	0.1111
467	0.10679
468	0.10397
469	0.10176
470	0.1
471	0.096752
472	0.095124
473	0.092709
474	0.090484
475	0.084973
476	0.083109
477	0.081186
478	0.079279
479	0.07698
480	0.0747
481	0.072592
482	0.070443
483	0.068456
484	0.065239
485	0.060259
486	0.052773
487	0.047039
488	0.041128
489	0.036582
490	0.034207
491	0.032247
492	0.03034
493	0.02842
494	0.026069
495	0.0254
496	0.022964
497	0.020396
498	0.01883
499	0.017941
500	0.016699
501	0.015772
502	0.014853
503	0.013731
504	0.013044
505	0.012137
506	0.0117
507	0.011163
508	0.010737
509	0.010442
510	0.01017
511	0.0097073
512	0.0093368
513	0.0088818
514	0.0082985
515	0.0080076
516	0.0072996
517	0.0072527
518	0.0069566
519	0.0066313
520	0.0063154
521	0.0060173
522	0.005682
523	0.0054613
524	0.005206
525	0.0050304
526	0.0048128
527	0.0045973
528	0.0044361
529	0.0045426
530	0.0039292
531	0.0037111
532	0.0035302
533	0.0034159
534	0.0032449
535	0.0030123
536	0.0028953
537	0.0028249
538	0.0027015
539	0.0025852
540	0.0024723
541	0.0024027
542	0.0023105
543	0.002205
544	0.0021018
545	0.0020994
546	0.001842
547	0.001791
548	0.0017037
549	0.0016626
550	0.001535
551	0.0014716
552	0.0014044
553	0.0013593
554	0.0012966
555	0.0012414
556	0.0011798
557	0.0011259
558	0.0010747
559	0.0010254
560	0.00097814
561	0.00094341
562	0.00089331
563	0.00084977
564	0.00078777
565	0.00075579
566	0.0007241
567	0.00068328
568	0.00066619
569	0.00064774
570	0.00063009
571	0.00060228
572	0.00058277
573	0.00054967
574	0.00052723
575	0.00052578
576	0.00045688
577	0.00044494
578	0.00042491
579	0.00040532
580	0.00038539
581	0.00036576
582	0.00034491
583	0.00033136
584	0.00031849
585	0.00031203
586	0.00029978
587	0.00028761
588	0.00027177
589	0.00026242
590	0.00024746
591	0.00023185
592	0.00022223
593	0.0002114
594	0.00018963
595	0.00018694
596	0.00018093
597	0.00017734
598	0.00017246
599	0.00017235
600	0.00017235
601	0.00017235
602	0.00017235
603	0.00017183
604	0.00017037
605	0.00017033
606	0.00017026
607	0.00017018
608	0.00017014
609	0.00017037
610	0.00017037
611	0.00017084
612	0.00017235
613	0.00017235
614	0.00017235
615	0.00017235
616	0.00017108
617	0.00017108
618	0.00017108
619	0.00017108
620	0.00017108
621	0.00017108
622	0.00017108
623	0.00017037
624	0.00017037
625	0.00017037
626	0.00017108
627	0.00017108
628	0.00017108
629	0.00017108
630	0.00017108
631	0.00017037
632	0.00017037
633	0.00017014
634	0.00017108
635	0.00017108
636	0.00017108
637	0.00017108
638	0.00017108
639	0.00017108
640	0.00017108
641	0.00017108
642	0.00017108
643	0.00017108
644	0.00017108
645	0.00017108
646	0.00017037
647	0.00017037
648	0.00017037
649	0.00017037
650	0.00017037
651	0.00017037
652	0.00017037
653	0.00017037
654	0.00017108
655	0.00017108
656	0.00017108
657	0.00017108
658	0.00017108
659	0.00017108
660	0.00017108
661	0.00017108
662	0.00017108
663	0.00017037
664	0.00017037
665	0.00017037
666	0.00017037
667	0.00017037
668	0.00017033
669	0.00017033
670	0.00017029
671	0.00017026
672	0.00017022
673	0.00017018
674	0.00017014
675	0.00017006
676	0.00016998
677	0.00016653
678	0.00016699
679	0.00016753
680	0.00016757
681	0.00016761
682	0.00016765
683	0.00016769
684	0.00016769
685	0.00016769
686	0.00016773
687	0.00016773
688	0.00016676
689	0.00016699
690	0.00016699
691	0.00016699
692	0.00016699
693	0.00016699
694	0.00016699
695	0.00016699
696	0.00016699
697	0.00016615
698	0.00016581
699	0.00016542
700	0.00016535
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
