Wavelength	LOG Absorption
380	3.83773
381	3.69279
382	3.55273
383	3.41739
384	3.28666
385	3.16041
386	3.0385
387	2.92081
388	2.80723
389	2.69763
390	2.5122
391	2.4349
392	2.35804
393	2.28167
394	2.20584
395	2.1306
396	2.05599
397	1.98207
398	1.90889
399	1.83648
400	1.7649
401	1.69424
402	1.62472
403	1.55661
404	1.49018
405	1.4257
406	1.3634
407	1.30336
408	1.24564
409	1.1903
410	1.13738
411	1.08691
412	1.03874
413	0.9927
414	0.94861
415	0.9063
416	0.86566
417	0.82686
418	0.79015
419	0.75577
420	0.72398
421	0.69488
422	0.66805
423	0.64295
424	0.61902
425	0.59572
426	0.57263
427	0.54995
428	0.528
429	0.5071
430	0.4876
431	0.4697
432	0.45316
433	0.43762
434	0.42272
435	0.4081
436	0.39351
437	0.37919
438	0.36549
439	0.35275
440	0.34132
441	0.33143
442	0.32278
443	0.31493
444	0.30748
445	0.29998
446	0.29214
447	0.28417
448	0.27641
449	0.2692
450	0.26288
451	0.25768
452	0.25344
453	0.24989
454	0.24677
455	0.2438
456	0.24077
457	0.23765
458	0.23446
459	0.2312
460	0.2279
461	0.22458
462	0.22134
463	0.21827
464	0.21547
465	0.21306
466	0.21108
467	0.20941
468	0.20789
469	0.20633
470	0.20458
471	0.20251
472	0.20019
473	0.19774
474	0.19528
475	0.19292
476	0.19075
477	0.18876
478	0.1869
479	0.18512
480	0.18338
481	0.18164
482	0.1799
483	0.17818
484	0.17651
485	0.1749
486	0.17336
487	0.17187
488	0.17041
489	0.16895
490	0.16748
491	0.16597
492	0.16445
493	0.16294
494	0.16147
495	0.16006
496	0.15874
497	0.15747
498	0.15624
499	0.15499
500	0.1537
501	0.15234
502	0.15091
503	0.14942
504	0.14787
505	0.14628
506	0.14465
507	0.14298
508	0.14129
509	0.13956
510	0.1378
511	0.13602
512	0.13425
513	0.13252
514	0.13087
515	0.12932
516	0.1279
517	0.12659
518	0.12536
519	0.12416
520	0.12296
521	0.12174
522	0.12049
523	0.11921
524	0.11791
525	0.1166
526	0.11527
527	0.11395
528	0.11266
529	0.11142
530	0.11024
531	0.10915
532	0.1081
533	0.10708
534	0.10604
535	0.10494
536	0.10376
537	0.10251
538	0.10122
539	0.0999
540	0.09858
541	0.09728
542	0.096
543	0.09473
544	0.09347
545	0.09222
546	0.09097
547	0.08971
548	0.08844
549	0.08716
550	0.08586
551	0.08454
552	0.08322
553	0.08193
554	0.08068
555	0.0795
556	0.0784
557	0.07736
558	0.07634
559	0.0753
560	0.0742
561	0.07302
562	0.07177
563	0.07048
564	0.06916
565	0.06784
566	0.06654
567	0.06526
568	0.06399
569	0.06274
570	0.06148
571	0.06022
572	0.05896
573	0.05769
574	0.05641
575	0.05512
576	0.05381
577	0.0525
578	0.05121
579	0.04996
580	0.04876
581	0.04762
582	0.04654
583	0.0455
584	0.04448
585	0.04346
586	0.04243
587	0.04139
588	0.04032
589	0.03924
590	0.03812
591	0.03697
592	0.03584
593	0.03474
594	0.03374
595	0.03286
596	0.03213
597	0.03151
598	0.03093
599	0.03034
600	0.02968
601	0.0289
602	0.02804
603	0.02715
604	0.02626
605	0.02544
606	0.02471
607	0.02406
608	0.02345
609	0.02286
610	0.02226
611	0.02162
612	0.02096
613	0.0203
614	0.01966
615	0.01908
616	0.01857
617	0.01811
618	0.0177
619	0.01733
620	0.01696
621	0.01659
622	0.01621
623	0.0158
624	0.01535
625	0.01484
626	0.01427
627	0.01364
628	0.01299
629	0.01232
630	0.01166
631	0.01102
632	0.0104
633	0.00978
634	0.00914
635	0.00848
636	0.00778
637	0.00708
638	0.0064
639	0.0058
640	0.0053
641	0.00493
642	0.00467
643	0.00449
644	0.00436
645	0.00424
646	0.00411
647	0.00395
648	0.00375
649	0.0035
650	0.00318
651	0.00279
652	0.00236
653	0.0019
654	0.00146
655	0.00106
656	0.00072
657	0.00045
658	0.00025
659	0.0001
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
