wavelength	response
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0.009655172
392	0.019310345
393	0.028965517
394	0.03862069
395	0.048275862
396	0.074137931
397	0.1
398	0.1
399	0.1
400	0.1
401	0.104827586
402	0.109655172
403	0.114482759
404	0.119310345
405	0.124137931
406	0.133103448
407	0.142068966
408	0.151034483
409	0.16
410	0.168965517
411	0.182758621
412	0.196551724
413	0.210344828
414	0.224137931
415	0.237931034
416	0.260689655
417	0.283448276
418	0.306206897
419	0.328965517
420	0.351724138
421	0.370344828
422	0.388965517
423	0.407586207
424	0.426206897
425	0.444827586
426	0.472413793
427	0.5
428	0.527586207
429	0.555172414
430	0.582758621
431	0.605517241
432	0.628275862
433	0.651034483
434	0.673793103
435	0.696551724
436	0.721103448
437	0.745655172
438	0.770206897
439	0.794758621
440	0.819310345
441	0.832275862
442	0.845241379
443	0.858206897
444	0.871172414
445	0.884137931
446	0.895586207
447	0.907034483
448	0.918482759
449	0.929931034
450	0.94137931
451	0.948965517
452	0.956551724
453	0.964137931
454	0.971724138
455	0.979310345
456	0.986206897
457	0.993103448
458	1
459	0.9965
460	0.993
461	0.99
462	0.987
463	0.984689655
464	0.983724138
465	0.982758621
466	0.980689655
467	0.97862069
468	0.976551724
469	0.974482759
470	0.972413793
471	0.967586207
472	0.962758621
473	0.957931034
474	0.953103448
475	0.948275862
476	0.943172414
477	0.938068966
478	0.932965517
479	0.927862069
480	0.922758621
481	0.915448276
482	0.908137931
483	0.900827586
484	0.893517241
485	0.886206897
486	0.88137931
487	0.876551724
488	0.871724138
489	0.866896552
490	0.862068966
491	0.854896552
492	0.847724138
493	0.840551724
494	0.83337931
495	0.826206897
496	0.814344828
497	0.802482759
498	0.79062069
499	0.778758621
500	0.766896552
501	0.754896552
502	0.742896552
503	0.730896552
504	0.718896552
505	0.706896552
506	0.695862069
507	0.684827586
508	0.673793103
509	0.662758621
510	0.651724138
511	0.641103448
512	0.630482759
513	0.619862069
514	0.609241379
515	0.59862069
516	0.589103448
517	0.579586207
518	0.570068966
519	0.560551724
520	0.551034483
521	0.540413793
522	0.529793103
523	0.519172414
524	0.508551724
525	0.497931034
526	0.487724138
527	0.477517241
528	0.467310345
529	0.457103448
530	0.446896552
531	0.436827586
532	0.426758621
533	0.416689655
534	0.40662069
535	0.396551724
536	0.388827586
537	0.381103448
538	0.37337931
539	0.365655172
540	0.357931034
541	0.349517241
542	0.341103448
543	0.332689655
544	0.324275862
545	0.315862069
546	0.307862069
547	0.299862069
548	0.291862069
549	0.283862069
550	0.275862069
551	0.268551724
552	0.261241379
553	0.253931034
554	0.24662069
555	0.239310345
556	0.231448276
557	0.223586207
558	0.215724138
559	0.207862069
560	0.2
561	0.191689088
562	0.183378176
563	0.175067265
564	0.166756353
565	0.158445441
566	0.150672646
567	0.142899851
568	0.135127055
569	0.12735426
570	0.119581465
571	0.112107623
572	0.104633782
573	0.09715994
574	0.089686099
575	0.082212257
576	0.073542601
577	0.064872945
578	0.056203288
579	0.047533632
580	0.038863976
581	0.032585949
582	0.026307922
583	0.020029895
584	0.013751868
585	0.007473842
586	0.005979073
587	0.004484305
588	0.002989537
589	0.001494768
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	0
604	0
605	0
606	0
607	0
608	0
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	0
622	0
623	0
624	0
625	0
626	0
627	0
628	0
629	0
630	0
631	0
632	0
633	0
634	0
635	0
636	0
637	0
638	0
639	0
640	0
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	0
654	0
655	0
656	0
657	0
658	0
659	0
660	0
661	0
662	0
663	0
664	0
665	0
666	0
667	0
668	0
669	0
670	0
671	0
672	0
673	0
674	0
675	0
676	0
677	0
678	0
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	0
690	0
691	0
692	0
693	0
694	0
695	0
696	0
697	0
698	0
699	0
700	0
701	0
702	0
703	0
704	0
705	0
706	0
707	0
708	0
709	0
710	0
711	0
712	0
713	0
714	0
715	0
716	0
717	0
718	0
719	0
720	0
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	0
729	0
730	0
731	0
732	0
733	0
734	0
735	0
736	0
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	0
751	0
752	0
753	0
754	0
755	0
756	0
757	0
758	0
759	0
760	0
761	0
762	0
763	0
764	0
765	0
766	0
767	0
768	0
769	0
770	0
771	0
772	0
773	0
774	0
775	0
776	0
777	0
778	0
779	0
780	0
