wavenumber (cm^-1),Log relative absorbance,,peak_nm,,wavelength (cm),wavelength (nm),absorbance (log),absorbance (lin)
5200,-0.678,,482,,,,,
4800,-0.648,,,,,,,
4400,-0.611,,,,,,,
4000,-0.553,,,,,,,
3600,-0.502,,,,,,,
3200,-0.45,,,,,,,
2800,-0.372,,,,,,,
2400,-0.292,,,,,,,
2000,-0.218,,,,,,,
1600,-0.152,,,,,,,
1200,-0.094,,,,,,,
800,-0.046,,,,,,,
400,-0.013,,,,,,,
0,0,,,,,,,
-400,-0.013,,,,,,,
-800,-0.056
-1200,-0.137
-1600,-0.264
-2000,-0.432
-2400,-0.658
-2800,-0.959
-3200,-1.301
-3600,-1.7
