Wavelength,R,M,E
400,0.13999,0.73716,0.12285
401,0.13969,0.73766,0.12264
402,0.13942,0.73806,0.12252
403,0.13917,0.73835,0.12248
404,0.13894,0.73854,0.12252
405,0.13873,0.73864,0.12263
406,0.13854,0.73863,0.12283
407,0.13837,0.73854,0.12309
408,0.13823,0.73835,0.12342
409,0.1381,0.73808,0.12382
410,0.13799,0.73773,0.12428
411,0.1379,0.7373,0.1248
412,0.13783,0.73679,0.12538
413,0.13777,0.7362,0.12602
414,0.13774,0.73555,0.12672
415,0.13771,0.73482,0.12746
416,0.1377,0.73404,0.12826
417,0.13771,0.73319,0.1291
418,0.13773,0.73228,0.12999
419,0.13775,0.73132,0.13093
420,0.13779,0.7303,0.13191
421,0.13784,0.72923,0.13293
422,0.1379,0.72811,0.13399
423,0.13797,0.72694,0.13509
424,0.13805,0.72573,0.13623
425,0.13813,0.72447,0.1374
426,0.13822,0.72317,0.13861
427,0.13831,0.72183,0.13986
428,0.13841,0.72044,0.14115
429,0.13851,0.71902,0.14247
430,0.13862,0.71756,0.14382
431,0.13872,0.71607,0.14521
432,0.13883,0.71453,0.14663
433,0.13895,0.71296,0.14809
434,0.13906,0.71136,0.14958
435,0.13917,0.70972,0.15111
436,0.13928,0.70804,0.15268
437,0.1394,0.70632,0.15428
438,0.13951,0.70457,0.15593
439,0.13962,0.70278,0.15761
440,0.13972,0.70095,0.15933
441,0.13983,0.69908,0.1611
442,0.13993,0.69717,0.16291
443,0.14003,0.69521,0.16476
444,0.14012,0.69322,0.16666
445,0.14021,0.69118,0.16861
446,0.14029,0.68909,0.17062
447,0.14037,0.68695,0.17267
448,0.14045,0.68477,0.17479
449,0.14052,0.68253,0.17696
450,0.14058,0.68023,0.17919
451,0.14063,0.67788,0.18149
452,0.14068,0.67547,0.18385
453,0.14072,0.67299,0.18629
454,0.14075,0.67045,0.18879
455,0.14078,0.66785,0.19138
456,0.14079,0.66517,0.19404
457,0.1408,0.66242,0.19678
458,0.1408,0.6596,0.19961
459,0.14078,0.65669,0.20252
460,0.14076,0.65371,0.20553
461,0.14073,0.65064,0.20863
462,0.14068,0.64748,0.21183
463,0.14063,0.64424,0.21514
464,0.14056,0.6409,0.21854
465,0.14048,0.63746,0.22205
466,0.14039,0.63393,0.22568
467,0.14029,0.6303,0.22941
468,0.14017,0.62656,0.23327
469,0.14004,0.62273,0.23724
470,0.13989,0.61878,0.24133
471,0.13973,0.61472,0.24554
472,0.13956,0.61056,0.24989
473,0.13936,0.60628,0.25435
474,0.13916,0.60189,0.25896
475,0.13893,0.59738,0.26369
476,0.13869,0.59276,0.26856
477,0.13843,0.58802,0.27356
478,0.13815,0.58316,0.2787
479,0.13784,0.57818,0.28398
480,0.13752,0.57308,0.2894
481,0.13718,0.56786,0.29496
482,0.13681,0.56252,0.30067
483,0.13642,0.55706,0.30652
484,0.13601,0.55148,0.31252
485,0.13557,0.54577,0.31866
486,0.1351,0.53995,0.32495
487,0.1346,0.534,0.3314
488,0.13408,0.52793,0.33799
489,0.13352,0.52174,0.34474
490,0.13293,0.51543,0.35164
491,0.13231,0.509,0.35869
492,0.13165,0.50245,0.3659
493,0.13095,0.49578,0.37327
494,0.13022,0.48899,0.38079
495,0.12944,0.48208,0.38848
496,0.12862,0.47505,0.39633
497,0.12776,0.4679,0.40433
498,0.12686,0.46064,0.4125
499,0.12591,0.45326,0.42083
500,0.12491,0.44577,0.42932
501,0.12386,0.43817,0.43797
502,0.12276,0.43045,0.44678
503,0.12162,0.42263,0.45575
504,0.12042,0.41471,0.46487
505,0.11917,0.40669,0.47414
506,0.11787,0.39858,0.48355
507,0.11652,0.39038,0.4931
508,0.11512,0.3821,0.50278
509,0.11367,0.37375,0.51258
510,0.11218,0.36533,0.52249
511,0.11063,0.35686,0.53251
512,0.10905,0.34834,0.54261
513,0.10742,0.33979,0.55279
514,0.10576,0.33122,0.56302
515,0.10406,0.32264,0.57331
516,0.10233,0.31406,0.58361
517,0.10057,0.3055,0.59393
518,0.098787,0.29698,0.60423
519,0.096988,0.2885,0.61451
520,0.095175,0.28009,0.62474
521,0.093353,0.27175,0.6349
522,0.091526,0.2635,0.64497
523,0.089701,0.25537,0.65493
524,0.087881,0.24735,0.66477
525,0.086072,0.23947,0.67446
526,0.084279,0.23174,0.68399
527,0.082505,0.22416,0.69333
528,0.080755,0.21676,0.70248
529,0.079033,0.20954,0.71143
530,0.077344,0.20251,0.72015
531,0.07569,0.19568,0.72863
