T	uv	vt	tt
100000000	0.18006492	0.26352349	-0.24342099
1000000	0.18012013	0.26374983	-0.24443454
500000	0.18017661	0.26398041	-0.24548344
333333.33	0.18023382	0.26421295	-0.24655767
250000	0.18029176	0.26444744	-0.2476573
200000	0.18035045	0.26468388	-0.2487824
166666.67	0.18040989	0.26492224	-0.24993306
142857.14	0.18047009	0.26516253	-0.25110935
125000	0.18053105	0.26540473	-0.25231133
111111.11	0.18059279	0.26564882	-0.25353909
100000	0.1806553	0.2658948	-0.25479268
90909.091	0.18071861	0.26614266	-0.25607218
83333.333	0.18078272	0.26639237	-0.25737766
76923.077	0.18084763	0.26664393	-0.25870918
71428.571	0.18091336	0.26689732	-0.2600668
66666.667	0.18097991	0.26715253	-0.26145058
62500	0.18104729	0.26740954	-0.26286059
58823.529	0.1811155	0.26766834	-0.26429688
55555.556	0.18118456	0.26792892	-0.26575951
52631.579	0.18125447	0.26819125	-0.26724854
50000	0.18132524	0.26845532	-0.26876402
47619.048	0.18139688	0.26872111	-0.27030601
45454.545	0.1814694	0.2689886	-0.27187455
43478.261	0.1815428	0.26925778	-0.2734697
41666.667	0.18161708	0.26952864	-0.27509151
40000	0.18169227	0.26980114	-0.27674003
38461.538	0.18176836	0.27007527	-0.27841529
37037.037	0.18184537	0.27035102	-0.28011736
35714.286	0.1819233	0.27062836	-0.28184627
34482.759	0.18200215	0.27090727	-0.28360206
33333.333	0.18208194	0.27118773	-0.28538478
32258.065	0.18216267	0.27146973	-0.28719446
31250	0.18224435	0.27175323	-0.28903116
30303.03	0.18232699	0.27203823	-0.2908949
29411.765	0.18241059	0.27232469	-0.29278572
28571.429	0.18249516	0.2726126	-0.29470367
27777.778	0.18258071	0.27290193	-0.29664877
27027.027	0.18266725	0.27319267	-0.29862106
26315.789	0.18275477	0.27348478	-0.30062057
25641.026	0.18284329	0.27377825	-0.30264735
25000	0.18293281	0.27407306	-0.30470141
24390.244	0.18302335	0.27436917	-0.30678279
23809.524	0.1831149	0.27466657	-0.30889152
23255.814	0.18320747	0.27496523	-0.31102763
22727.273	0.18330107	0.27526513	-0.31319114
22222.222	0.1833957	0.27556624	-0.3153821
21739.13	0.18349138	0.27586854	-0.31760052
21276.596	0.1835881	0.27617201	-0.31984643
20833.333	0.18368588	0.27647662	-0.32211985
20408.163	0.18378471	0.27678235	-0.32442082
20000	0.1838846	0.27708917	-0.32674936
19607.843	0.18398557	0.27739705	-0.32910549
19230.769	0.1840876	0.27770598	-0.33148924
18867.925	0.18419072	0.27801592	-0.33390063
18518.519	0.18429492	0.27832685	-0.33633969
18181.818	0.18440021	0.27863875	-0.33880643
17857.143	0.18450659	0.27895159	-0.34130089
17543.86	0.18461407	0.27926534	-0.34382308
17241.379	0.18472265	0.27957998	-0.34637303
16949.153	0.18483234	0.27989548	-0.34895076
16666.667	0.18494313	0.28021182	-0.35155629
16393.443	0.18505505	0.28052898	-0.35418965
16129.032	0.18516808	0.28084692	-0.35685086
15873.016	0.18528224	0.28116562	-0.35953994
15625	0.18539752	0.28148505	-0.36225691
15384.615	0.18551394	0.2818052	-0.3650018
15151.515	0.18563148	0.28212603	-0.36777462
14925.373	0.18575017	0.28244752	-0.37057541
14705.882	0.18586999	0.28276964	-0.37340419
14492.754	0.18599096	0.28309237	-0.37626097
14285.714	0.18611308	0.28341568	-0.37914579
14084.507	0.18623634	0.28373954	-0.38205867
13888.889	0.18636076	0.28406394	-0.38499962
13698.63	0.18648633	0.28438885	-0.38796869
13513.514	0.18661305	0.28471423	-0.39096589
13333.333	0.18674094	0.28504007	-0.39399125
13157.895	0.18686998	0.28536635	-0.3970448
12987.013	0.18700019	0.28569303	-0.40012657
12820.513	0.18713157	0.28602009	-0.40323657
12658.228	0.18726411	0.28634751	-0.40637485
12500	0.18739782	0.28667526	-0.40954143
12345.679	0.18753269	0.28700332	-0.41273634
12195.122	0.18766874	0.28733167	-0.41595961
12048.193	0.18780596	0.28766028	-0.41921128
11904.762	0.18794436	0.28798912	-0.42249138
11764.706	0.18808393	0.28831818	-0.42579994
11627.907	0.18822467	0.28864742	-0.429137
11494.253	0.18836659	0.28897684	-0.43250259
11363.636	0.18850968	0.2893064	-0.43589674
11235.955	0.18865395	0.28963608	-0.43931951
11111.111	0.18879939	0.28996585	-0.44277092
10989.011	0.18894602	0.2902957	-0.44625103
10869.565	0.18909381	0.29062561	-0.44975986
10752.688	0.18924279	0.29095555	-0.45329746
10638.298	0.18939294	0.29128549	-0.45686388
10526.316	0.18954427	0.29161542	-0.46045915
10416.667	0.18969677	0.29194532	-0.46408334
10309.278	0.18985045	0.29227517	-0.46773649
10204.082	0.1900053	0.29260493	-0.47141864
10101.01	0.19016132	0.2929346	-0.47512984
10000	0.19031851	0.29326415	-0.47887016
9900.9901	0.19047688	0.29359357	-0.48263964
9803.9216	0.19063642	0.29392282	-0.48643833
9708.7379	0.19079712	0.2942519	-0.49026631
9615.3846	0.19095899	0.29458078	-0.49412362
9523.8095	0.19112203	0.29490944	-0.49801032
9433.9623	0.19128623	0.29523786	-0.50192648
9345.7944	0.19145159	0.29556603	-0.50587216
9259.2593	0.19161811	0.29589392	-0.50984743
9174.3119	0.19178579	0.29622152	-0.51385236
9090.9091	0.19195463	0.2965488	-0.517887
9009.009	0.19212462	0.29687576	-0.52195144
8928.5714	0.19229576	0.29720237	-0.52604575
8849.5575	0.19246806	0.29752862	-0.53017
8771.9298	0.19264149	0.29785448	-0.53432427
8695.6522	0.19281608	0.29817995	-0.53850864
8620.6897	0.1929918	0.29850499	-0.54272319
8547.0085	0.19316867	0.29882961	-0.546968
8474.5763	0.19334667	0.29915378	-0.55124315
8403.3613	0.1935258	0.29947748	-0.55554874
8333.3333	0.19370607	0.2998007	-0.55988484
8264.4628	0.19388746	0.30012342	-0.56425156
8196.7213	0.19406997	0.30044563	-0.56864899
8130.0813	0.19425361	0.30076732	-0.57307722
8064.5161	0.19443836	0.30108846	-0.57753635
8000	0.19462423	0.30140905	-0.58202647
7936.5079	0.19481121	0.30172906	-0.5865477
7874.0157	0.1949993	0.30204849	-0.59110013
7812.5	0.19518849	0.30236733	-0.59568388
7751.938	0.19537878	0.30268555	-0.60029905
7692.3077	0.19557017	0.30300314	-0.60494574
7633.5878	0.19576265	0.30332009	-0.60962409
7575.7576	0.19595622	0.3036364	-0.6143342
7518.797	0.19615088	0.30395204	-0.61907619
7462.6866	0.19634661	0.304267	-0.62385019
7407.4074	0.19654343	0.30458127	-0.62865631
7352.9412	0.19674131	0.30489484	-0.63349468
7299.2701	0.19694027	0.3052077	-0.63836543
7246.3768	0.19714029	0.30551983	-0.6432687
7194.2446	0.19734137	0.30583123	-0.64820461
7142.8571	0.1975435	0.30614188	-0.65317331
7092.1986	0.19774669	0.30645178	-0.65817493
7042.2535	0.19795093	0.3067609	-0.66320961
6993.007	0.19815621	0.30706925	-0.6682775
6944.4444	0.19836252	0.30737681	-0.67337874
6896.5517	0.19856988	0.30768357	-0.67851349
6849.3151	0.19877826	0.30798952	-0.6836819
6802.7211	0.19898766	0.30829465	-0.68888412
6756.7568	0.19919809	0.30859895	-0.69412031
6711.4094	0.19940953	0.30890242	-0.69939063
6666.6667	0.19962198	0.30920504	-0.70469525
6622.5166	0.19983544	0.30950681	-0.71003433
6578.9474	0.2000499	0.30980772	-0.71540804
6535.9477	0.20026536	0.31010775	-0.72081655
6493.5065	0.20048181	0.31040691	-0.72626004
6451.6129	0.20069925	0.31070518	-0.73173869
6410.2564	0.20091766	0.31100255	-0.73725268
6369.4268	0.20113706	0.31129902	-0.74280219
6329.1139	0.20135743	0.31159458	-0.74838741
6289.3082	0.20157876	0.31188923	-0.75400853
6250	0.20180106	0.31218295	-0.75966574
6211.1801	0.20202432	0.31247574	-0.76535924
6172.8395	0.20224852	0.3127676	-0.77108923
6134.9693	0.20247368	0.31305851	-0.77685591
6097.561	0.20269978	0.31334847	-0.78265949
6060.6061	0.20292681	0.31363747	-0.78850017
6024.0964	0.20315478	0.31392551	-0.79437817
5988.024	0.20338367	0.31421259	-0.8002937
5952.381	0.20361349	0.31449869	-0.80624698
5917.1598	0.20384422	0.31478382	-0.81223824
5882.3529	0.20407587	0.31506796	-0.81826769
5847.9532	0.20430842	0.31535111	-0.82433557
5813.9535	0.20454187	0.31563327	-0.8304421
5780.3468	0.20477622	0.31591443	-0.83658753
5747.1264	0.20501146	0.31619458	-0.84277209
5714.2857	0.20524759	0.31647373	-0.84899602
5681.8182	0.2054846	0.31675187	-0.85525957
5649.7175	0.20572248	0.31702899	-0.86156298
5617.9775	0.20596123	0.3173051	-0.86790651
5586.5922	0.20620085	0.31758017	-0.87429042
5555.5556	0.20644133	0.31785422	-0.88071495
5524.8619	0.20668267	0.31812725	-0.88718038
5494.5055	0.20692485	0.31839923	-0.89368698
5464.4809	0.20716788	0.31867018	-0.900235
5434.7826	0.20741175	0.31894009	-0.90682473
5405.4054	0.20765645	0.31920895	-0.91345644
5376.3441	0.20790198	0.31947677	-0.92013041
5347.5936	0.20814833	0.31974353	-0.92684693
5319.1489	0.20839551	0.32000925	-0.93360628
5291.0053	0.20864349	0.32027391	-0.94040876
5263.1579	0.20889229	0.32053751	-0.94725467
5235.6021	0.20914189	0.32080005	-0.95414429
5208.3333	0.20939228	0.32106153	-0.96107794
5181.3472	0.20964347	0.32132195	-0.96805593
5154.6392	0.20989545	0.3215813	-0.97507856
5128.2051	0.2101482	0.32183959	-0.98214615
5102.0408	0.21040174	0.3220968	-0.98925902
5076.1421	0.21065605	0.32235295	-0.99641749
5050.5051	0.21091112	0.32260802	-1.0036219
5025.1256	0.21116696	0.32286202	-1.0108726
5000	0.21142355	0.32311494	-1.0181698
4975.1244	0.2116809	0.32336678	-1.025514
4950.495	0.21193899	0.32361755	-1.0329055
4926.1084	0.21219783	0.32386724	-1.0403446
4901.9608	0.2124574	0.32411586	-1.0478317
4878.0488	0.2127177	0.32436339	-1.0553671
4854.3689	0.21297873	0.32460984	-1.0629512
4830.9179	0.21324048	0.32485521	-1.0705844
4807.6923	0.21350294	0.32509949	-1.0782671
