lambda	log S	SD
379	-0.888	0.095
380	-0.602	0.070
398	-0.784	0.021
410	-0.605	0.014
418	-0.496	0.014
430	-0.38	0.004
440	-0.375	0.059
449	-0.196	0.007
460	-0.195	0.020
467	-0.068	0.016
480	-0.081	0.047
491	-0.027	0.010
499	0	0.010
510	-0.061	0.014
520	-0.09	0.014
531	-0.302	0.021
540	-0.328	0.008
550	-0.477	0.048
560	-0.637	0.023
571	-0.949	0.034
581	-1.15	0.013
591	-1.517	0.010
601	-1.822	0.007
621	-2.527	0.029
639	-3.272	0.046
660	-3.849	0.026
678	-4.675	0.026
700	-5.172	0.026
720	-5.854	0.083
740	-6.457	0.038
760	-6.862	0.059
